,Date,tweet
2071,2021-03-01,ever wonder who s shaping society today it s her creating innovating leading and bringing the world forward with her because where women rise everyone benefits and when it s her it s all of us womenshistorymonth real talk new settings for voice clips are here to give customers more control over whether their voice data is used to improve products welcome to pisces season where microsoft paint gt microsoft excel identity and diversity scholar field researcher assistant professor dr is joining us at include t hours until we are live here on twitter with msignite keynotes from microsoft is and learn more about the event at passion definitely passion glenn let winston in this is brilliant beautiful lies we tell ourselves one down to go takes note unread emails are nobody is business well done the energy we need in second breakfast is not to be skipped we do this because we care how are you feeling you have hardly touched your unread emails 
2094,2021-02-27,fly a drone make it snow or challenge an ai model explore how innovation will empower you to transform the world around us in one of our most interactive keynotes ever envisioning tomorrow with msignite fuel targets space warp rollover gravity well hyperspace kickout the ultimate pinball retroday 
2096,2021-02-26, you are asking a lot from us please share with the class thank you humans bueller how about that look in the last photo you have got it down to a science paul an excellent movie reference brandon author and professor specialist in constitutional and anti discrimination law chief justice earl warren professor of constitutional law at nyu school of law is joining us at include does anyone have any questions followed by the longest seconds of awkward silence is anyone there every company has become a software company and will be soon becoming an ai company dive into the new ai business school podcast with host david carmona general manager for ai and innovation at microsoft jenny is a mood did anyone bring hamentaschen are they best friends now please say yes works every time yes so handsome so fashionable no not one bit unmutes us please put the dog on camera mutes your dog should lead every meeting it is literally all we want who could resist the uncovering talent model presents a new alternative to inclusion efforts within the workforce explore the report from dr christine smith and include speaker prof kenji yoshino you i m going to pay attention to every word mentioned in this microsoft teams meeting also you wow look at how cute my dog is 
2127,2021-02-25, those are not emojis mat but we understand you are too kind siddhartha looking now rinse amp repeat we will never tell the rubber duck wowwwww very nice now wait a minute wow michael here is a gold star we are just a few days away from our free all digital msignite event with live keynotes from ceo and cvp tune in here on twitter starting at am pt on march and register at did you get my email let is chill mirrorhr uses ai to capture process and monitor telltale data for potential seizures discover what this team has accomplished during their residency with aggressively sends praise accurate amazing well is not this a surprise a coordinated effort do not worry it is still in our top same no is very underrated one down two more to go you have given us a lot to unpack here shehan well done ah yes the three moods great choices anne it is important to be constantly curious we love your commitment to crustaceans we would expect nothing less a truly chaotic combination black history is being made every day afrofuturist illustrator amp author tim fielder climate justice advocate amp educator kari fulton and microsoft employee amp creator of diverse dolls khulile vilakasi ofosu are using technology to empower change blackhistorymonth these are ours what are your top three emojis reply with them below 
2177,2021-02-24, hello hello impressive we feel seen laurie do not just say hello now we are getting somewhere we will allow it waits patiently for a follow up ping you are welcome okay maybe exactly waves wowwwwwww was that the plan all along appreciate that thank you ok we are friends now wow she deserves all the walkies please don t just say hello in chat one canadian educator encourages his students to use minecraft survival mode as a tool for writing fiction here is how minecraft is helping teachers and students get creative in the classroom join us on march for include a free all digital event focused on diversity amp inclusion being an ally is not a person is identity it is a lifelong commitment and practice advocate nationally recognized expert is the deputy director for trans justice with the aclu s lgbt amp hiv project and he ll be joining us at include same to you divyesh been there thanks patti and the stripy tail was definitely the star of said meeting not all heroes wear capes rookie mistake happy birthday ouch brb going to stare at this gif all day accurate sounds like a perfect day we are doing great alistair thanks for asking keep up the good work omar more coffee always helps unmutes glad to hear it mutes so true mubashir how early is too early to take a nap you have got this same tbh word stop collaborate and listen check out these tips on how to stay safe secure and collaborative with microsoft teams how are you doing today create a better tomorrow today build resilience and drive innovation with microsoft cloud industry solutions mscloud
2235,2021-02-23, we are all josephine she should absolutely join every am teams call as your sleeping shoulder parrot potato dog can we be kermit as remote and hybrid learning continue to be part of daily life we have learned just how crucial it is to have access to technology discover why it is important to make technology accessible safe and engaging for students what is your favorite we fully agree we vote yes with a very special guest at this point it is a reflex you are welcome jon many save much floppy woah woah woah it is technically both touch accurate did they ever truly leave josephine with an og setup we are on a journey to empower every frontline worker in every organization to achieve more here are new microsoft teams features designed to do just that do you call it a floppy disk or the save button project origin aims to create a chain of trust between media publishers and consumers alt the future from an alternative perspective learn more at 
2263,2021-02-22, podcast host law professor cofounder and executive director kimberl crenshaw is joining us at include as we explore topics like intersectionality race and the law at include we are bringing together some of the top experts in academia law and social change meet this year is speakers who will address topics like allyship covering intersectionality and privilege it certainly does mood you are welcome then we will consider this a success thank you alan wow thank you ben we are doing great thank you it does that is a start thank you for your honesty brenna the only constant is change especially in retail discover how retailers can unleash the benefits of ai and machine learning to help transform their business hope this tweet finds you well this is amazing can you send us a dm using the link below love this can you send us a dm using the link below a very important assistant it really took things to the next level impressed you definitely won please elaborate there are two types of people sorry brad the sky is the limit discover how one company is working to reduce aviation s climate impact with ai you i m going to set my alarm for am am and am eat breakfast and start my day refreshed also you still sleeping at am
2295,2021-02-20, or a house 
2296,2021-02-19, why are you so trendy we are envisioning a future where all students have the opportunity to be creative confident and optimistic learners realizing their full potential check out how we are making this a reality we would never this is art saag paneer with naan the best possible reason this reminds me of my coworker looks like that pm feeling we understand our new brake pads are really cool you are not even going to believe it let s all take a moment to appreciate this beautiful dish from microsoft dining while training for v shesh used to take place in physical classrooms the company has adapted to remote learning with microsoft teams discover how the accessibility features are supporting their mission did a full self fives all around come for the help stay for the eyebrows we will not us when we see how many of you replied to this la zer thank you for your patience capisce coffee from campus always a my spinach puffs clippppayyyy too real allll byyy myyysellfff do not ask us why we dolly vote for pedro for the round panda easy been there for cuteness alone ten out of ten cups of coffee never misses for when meetings get scheduled at pm on a friday nods in agreement we love a nostalgic moment she is a star much type very words lettuce give this a a fantastic hop docking points because this will haunt us forever us to us sending this tweet and party on dudes friday mood a versatile classic for floppiness it looks like you are feeling nostalgic would you like some help with that woah fil knows he deserves the spotlight are you saying that spreadsheets are not exciting too real what s your favorite gif reply with it below and we ll rate it on a scale of to the legacy project is a virtual gallery honoring black american changemakers shaping the future with their contributions in business education science sports entertainment and more blackhistorymonth click to enter 
2360,2021-02-18,real progress on diversity amp inclusion does not happen without real work we are gathering some of the top experts in d amp i for include a free global livestream event register now collaboration creativity and minecraft discover how teachers and students across canada came together for a storytelling challenge we support this we will take it so true same but at least you will be having fun unmutes mic waits seconds to say something decides not to say anything mutes mic approvals in microsoft teams check out what the new feature means for you if clippy isn t available we re taking perhaps when will they learn check your email sounds about right snuggles gt meetings what is the mood a likely story was late to the meeting today thank you for registering the event will be live on the event website and you will receive updates via the email that was provided when you registered understanding builds empathy join us on march for include a free all digital event focused on diversity amp inclusion register now 
2386,2021-02-17, hey we love your tweet can you send us a dm using the link below lol abigail so groovy tuffy is world too real mat we believe in you magy looking good they deserve all the treats what kind coming to a disk drive near you track one save as track two floppy discos exactly the floppiest vibes that is a yikes away message game hallo incredible believing that you can make a difference makes all the difference learn why ranjitsinh disale has been awarded the global teacher prize for transforming the life chances of girls at zilla parishad primary school in paritewadi this could be an album cover it will be great hi at amp t business we are doing well hope you are too best microsoft rude did it work your dog said it is time for some pets the right gif is worth a thousand emails doing well how are you you are welcome that depends what is the topic hey bestie you are someone is reason to smile paul good thanks how about you as you should brb i was wondering if after all these years you would like to meet history made learn more about the first ever holographically navigated spinal surgery performed at balgrist university hospital hololens absolutely hbu just trying to find our daily zen have you seen it sup our social media manager hi 
2433,2021-02-16, throwbackkkk priorities fin what is the book of the month same it is the thought that counts beautiful work we will have clippy is people call your people we see what you did there we approve giving is a superpower check out how and gamers outreach are sharing the gift of wonder with children is hospitals ww the art the artist a red team and a blue team name a more iconic duo for cybersecurity we only use one space now crickets nailed it what flavor though we have all been there christy happy pancakeday a fantastic idea wowwwww give it another two hours you have got plenty of time you are welcome we think exactly congrats us here we go let s do this very important paper feeling motivated also us 
2465,2021-02-14,the cutest passive aggressive email reminder you ve ever received valentine s day cards from microsoft a thread finishes powerpoint to me you are perfect to our twitter followers cc all of their friends subject happy valentine s day 
2474,2021-02-13,not sure who needs this today but the most important person to love is yourself 
2475,2021-02-12,what is one of the best ways to support employees mental wellbeing and an inclusive workspace by accelerating investments in digital skills learn more about the value of up skilling workin hard or hardly workin nurses are heroes discover how technology is helping care for those who care for others would anyone like some tea or coffee 
2484,2021-02-11, please show dionne thank you young folk sometimes it is like that sounds pretty cute tbh a legend you are welcome beautiful what a moment the games you want to play that you can not play anywhere else check out the exclusives coming to in mutes mic nope nothing from me unmutes mic nope nothing from me mutes mic microsoft s airband initiative which aims to extend internet access is connecting people in more ways than one discover how it is changing lives for those in rural areas all my best a very important distinction thank you why are you yelling we are literally wishing her a happy birthday and calling her a trendsetter to cc atlanta is going to be well positioned in the next to years to be a tech giant in the u s that s huge kevin gooch learn more about the expansion of microsoft is presence in atlanta we believe in you you are welcome sometimes we see what you did there your cat really said 
2523,2021-02-10, spooky new day new you what will the world be like in the future and what role will technology play those are two of the big questions microsoft researchers aim to solve it is okay to decline a meeting sounds familiar what kind of pizza of course time for a snack me time meow check out these five great features on the free version of microsoft teams what is on the menu today 
2543,2021-02-09, not all heroes wear capes we would have to agree paid attention this is next level a mood all of your favorite microsoftteams features now available in breakout rooms from using together mode to the microsoft whiteboard check out these tips for the best meetings today s energy the in culture podcast explores the influence of conceptual artist sol lewitt across the worlds of food fashion music amp fine art with guests including eleven madison park chef and owner daniel humm and the fashion designers behind listen now lennox thank you sam you are too kind tack tech oriented jobs are expected to increase nearly five fold by learn more about how our skilling initiative prepares people for the jobs of tomorrow i really think mixed reality will be used in the operating room for so many things in the future says dr bruno gobbato see how doctors are using hololens to revolutionize surgery surgeons from countries will perform operations with hololens during this hour holographicsurgery event happening now 
2563,2021-02-08, excellent photo quality for someone making the jump to hyperspace brilliant smh sometimes it is like that families who game together make memories together check out all the reasons to play as a team true friendship your favorite wordart says a lot about your personality or so they say tired interrupting wired the ghosts of meetings past love that for you today is worldepilepsyday discover how technology is helping patients receive diagnosis and treatment faster you control your time 
2576,2021-02-05, employee experience should have always been a priority but when you are remote in particular you want to be staying engaged with your business and your company and its sense of purpose and mission more on microsoft viva from bloomberg 
2578,2021-02-04, mutes chat keep your home a little more organized with these tips and tools from microsoft the real mvp microsoft us being quietly cc would incredible tfw you miss the join the meeting notification by a millisecond and have to open your calendar to join working from home has its ups and downs microsoft viva gives companies new ways to help employees do their best work and stress less msftviva employeeexperience have you ever gone from just following up to as per my last email ceo joins our chief people officer kathleen hogan to discuss how the new microsoft viva platform reimagines the employee experience designed for a digital era introducing microsoft viva msftviva employeeexperience watch microsoft leaders and introduce microsoft viva a new employee experience platform msftviva employeeexperience
2592,2021-02-03, no clippy did this very impressed by this scott the pandemic showed us just how essential essential workers truly are discover how microsoft teams supports those working on the frontlines he is been working on his artistic side incredible potato wow bring your kid to work day everyday feeling inspired by van gogh is starry night the art the artist discover how we re working with to transform our world we know the answer to this one here is how is using ai to stop plastics from entering the ocean let s offline about that is just two people on one call agreeing to skip it for now and forget about it later our type of artist soar to new heights with microsoft flight simulator now available on your favorite vr headset for pc get ready for takeoff a flying cat kittens should be able to mew mew mew all they want thank you for this ted talk but if you do need the silence here is how to reduce background noise in microsoft teams please stop apologizing for the dogs barking in the background of your microsoft teams calls let them speak what s up doc azure ai is bringing bugs bunny progressive s flo and duolingo characters to life with custom neural voice 
2615,2021-02-02, hi ari we d like our team to help with this can you dm us your contact information we ll have someone reach out just the right amount of awkward to each their own valuable advice we like it classic pisces vibes from the s data and cloud computing are paving a new way for electric vehicles to thrive in india find out how glad it is not just us oh no you sure do not mess with us pork chop do you say goodbye before leaving a microsoft teams call or are you an aquarius stay ready so you do not have to get ready here is your plan for increasing security and resilience yeah it feels like groundhog day is it just us or does today feel like groundhog day looks like spinach is stealing your look that photo would make an excellent desktop background 
2636,2021-02-01, sometimes it is like that those eyes you better have had a treat ready happy birthday miss marley ngl we save anyway you never know perfection ctrl s ctrl s ctrl s ctrl s talkative toddler noisy neighbors barking man is best friend have no fear noise suppression on microsoft teams is here do not worry we have made a note of this unmutes what type of chips are you eating mutes we get it setting the mood oh my we re proud to support these global youth leaders who are channeling their own experiences into projects that help other athletes with intellectual disabilities connect and thrive learn more about their projects at while waiting for others to join the microsoft teams call do you prefer proudly we amplify the voices of those whose experiences motivated their present actions to build a better future for generations to come we do this not just because this is blackhistorymonth but because change is happening and black history is now 
2652,2021-01-29, that calendar gt stay tuned khaver windows will be released in kids these days truly welcome we would give this an a attention teachers breakout rooms are now available in microsoft teams for education here is what it means for your classroom windows feeling nostalgic you wear a helmet when riding a bike to protect yourself consider this like that but for your business we get it checks posture sorry not sorry smh just trying to help with back pain clever you i am getting a weird echo can everyone please go on mute also you am i the echo imagine a world tour of surgeries assisted by mixed reality with surgeons from countries take a look reminder stop slouching 
2670,2021-01-28, looks like you have an artist over there at flex seal we have had this on repeat all day two with extra butter please a corgi of many talents i m not saying advocate for it s not a badge or cape it s a practice that we re trying to embed so people can engage in conversation to learn from one another how to support and help one another so much around allyship is putting the growth mindset into action learning how to empathize with and advocate with someone else says chief diversity officer lindsay rae mcintyre the microsoft allyship program shows how everyone has an opportunity to be an ally learn more who says he is not already updates coming soon a masterpiece thank you seduko oh no you go i was going to change the subject this is aca mazing cc the art the artist discover how gaming can help bridge gaps between generations and fight loneliness learn more what if there was a system that could work with different functions to identify plan and act on changing variables alt the future from an alternative perspective a favorite can never be too safe you do you we love you too there are two types of people never the other way around lol great job percy it s ctrl c ctrl c ctrl c ctrl c and then ctrl v we re one year into our year plan to be carbon negative how it started how it s going 
2699,2021-01-27, try it and get back to us you too stein educators believe the pandemic has accelerated the evolution of virtual education by ten years check out some of the most important takeaways for hybrid learning in more than billion email threats were blocked by defender for office more on microsoft s zero trust mindset and the future of security have you tried unplugging it and plugging it back in microsoft and the leader in smart and sustainable buildings are working with the national university of singapore to create a more sustainable campus discover how they are using digital twins technology to innovate lighting is key any gifs in particular that is what besties are for at least you are honest t h e nice one it looks like you are procrastinating do you need help with that anytime back to work stein amazing you are welcome together with our partners we re delivering vaccine management solutions to support public health systems and help them focus on getting the vaccines resources and services when and where they need them learn more you re procrastinating nunavut which means our land in inuktitut one of the inuit languages has been home to an indigenous population for more than years see how microsoft teams is helping to bring this community together during the pandemic 
2723,2021-01-26, not at all always in the back pocket oh tom from teachers to students to parents everyone deserves an a for resilience in check out these highlights from microsoft education microsoft teams you have poor network quality you i am going to use this as an excuse to not turn my camera on today business highlights more personal computing windows oem revenue windows commercial products and cloud services revenue xbox content and services revenue surface revenue search advertising revenue business highlights intelligent cloud server products and cloud services revenue azure revenue growth business highlights productivity amp business processes office commercial revenue office consumer revenue linkedin revenue dynamics products and cloud services revenue q fy revenue by segment productivity amp business processes billion intelligent cloud billion more personal computing billion commercial cloud revenue billion thread msft q earnings just announced microsoft q earnings revenue billion operating income billion net income billion eps read the full microsoft s q earnings release here note about forward looking statements in earnings tweets we would like to be wherever this is more like an unexpected gift let him squeak espresso your appreciation for coworkers with the app in microsoft teams learn how you can give it a shot commentretweetlike jpeg jasmine crowe ceo of is on a mission to reduce food waste and feed millions find out how she s changing the way to approach hunger through smart technology and community engagement learn more 
2747,2021-01-25,the consensus is clear the future of work is hybrid discover how microsoft s latest work reworked research can help you make the most of company culture nsw health pathology is using cloud technology and ai to support faster diagnosis and care for patients no matter where they are learn more about the initiative around of electrical equipment ends up being sent to landfills incinerated or illegally traded instead of responsibly recycled check out how one app is planting a more sustainable future one recycled device and tree at a time the uk now has microsoft showcase schools more than any other country in europe discover how the schools are using technology like microsoft teams to up level education no that was not thunder it was just someone typing while unmuted on a microsoft teams call 
2752,2021-01-23,it s pie day not pi day pieday 
2753,2021-01-22,here s to work life balance with a little more life 
2754,2021-01-21,tell us you are proficient in excel without telling us you are proficient in excel proud of you tom coming right up amazing a classic be careful it is very hot is organizing a hour holographicsurgery event in collaboration with professor evolutis num rique and the challenge hours to change healthcare collaboration learn more dashes oat milk excellent choice always nice think of this as a gaming mixtape of hope and optimism sounds pretty good to us our specialty coming right up medium roast you got it how much sugar we will do better on the latte art next time got you would anyone like some coffee or tea 
2787,2021-01-19, maybe we should just wave beautiful trust us it is plugged in the nerve save early save often we support this decision ket ctrl s ctrl s ctrl s ctrl s is this you brb gonna go beat our high score hours this looks like a very im paw tent teams meeting the perfect coworker does not exi very proper thought we would hop in for a ride plans for the day 
2808,2021-01-15,during the pandemic microsoft customers discovered that the cloud didn t just have a silver lining it was the silver lining see how azure is helping companies stay resilient let that voice shine syed nm hbu making the tough choices please notify us when this is available wow brad say it louder unmutes mic are we still doing these ice breakers i have two dogs and enjoy long walks on the beach mutes mic excellent can you send us a dm using the link below oh brad you too peter where are you going who is mike yes yes it is blind citizens australia s mission is to inform connect and empower the people in australia who are blind or vision impaired check out how the organization is living its values internally with accessible technology hello tips hat simply amazing i must have called a thousand times hey hi 
2842,2021-01-14, do not cut costs on chairs excellent every day there is no better powerpoint deck than the powerpoint deck made by you as the move to remote work has blurred the lines between work and home time empathy has become all the more important learn more dear office swivel chair with excellent lumbar support we miss you teachers you are our heroes discover the latest updates available now to help you make the most of distance and hybrid learning with microsoft teams for education hey hey hey what a wonderful life you must live the works please when is pretzel day asking for a friend 
2857,2021-01-13,thanks to cloud technology doctors are able to safely monitor isolated patients in the community ensuring hospital resources remain available for the most critical patients learn more those transitions gt gt is he just hopping off his last call hi kristy this is way too cute can you send us a dm using the link below could not have said it better ourselves the windows xp start up sound can you hear it technology is helping africa is farmers reap major benefits check out how their crop yields have increased by multiplying the income of smallholder farmers by ten times us 
2865,2021-01-12, one of the best replies here sorry but you have to decide just sending a friendly ping wow absolutely love to see it ctrl v ctrl i win g ctrl y favorite shortcut combos what is yours ctrl alt del more than million new technology jobs are expected to be created worldwide in the next five years discover how we are partnering with uk universities to prepare students you read our teams chat three hours ago we re still waiting for a reply embedding resilience integrating new products getting to know customers better check out how retailers in central and eastern europe are innovating hello fahaad and friends we will allow it in durham nc expect a high of f and sunshine we thought you were our friend steven in case you didn t know this account isn t managed by ai we re real people just like you unless you re a robot with school back in session teachers around the world are adapting to new ways of instructing and engaging with students during the pandemic learn how they are innovating with microsoft technology 
2890,2021-01-11, a prime example you should all the love a valid reason your time will come denzil inspiration can make all the difference in the work you pursue with upon us chief people officer kathleen hogan connects with experts as they share stories of optimism for the year ahead more from kathleen opening your powerpoint deck with a funny gif is something all of us appreciate more of this please learn how did you know you can now use polls in microsoft teams meetings happy birthday to all of you capricorns may your january be filled with pristine spreadsheets and relentless ambition you could say we excel at it excel lent start gt settings gt game mode roughly tons of e waste lands in india s capital city from across the country and abroad every day learn how grassroots startup is taking on the challenge of responsible recycling arguably the best start drop your best microsoft pun in our replies below 
2906,2021-01-08,it s now safe to turn off your computer connection is calling new enhancements to microsoftteams calling are here to help you collaborate better how every microsoftteams meeting will start through the end of february happy new year everyone we made it imperial college london is using microsoft hololens to help medical students get the vital experience of treating real patients in hospitals despite pandemic restrictions learn how very impressive wsdot set status appear away set status message brb playing we have wrapped up a two year experiment testing the sustainability of underwater data centers and the results suggest our data could lie under the sea in the not too distant future more from 
2917,2021-01-06, happens to the best of us accurate you are right that is love dash looks so ready to learn powerpoint here is your reminder to unmute today 
2924,2021-01-05, sorry gotta hop off this call that smile gets us every time powerful points hugs we are just happy that you are happy relatable me settling back in after the holiday trying to remember how to do my job sharing the world of computerscience with your students is now easier than ever discover the latest computer science subject kit with more than hours of learning content first week of the new year and we wanted to check in how are you doing 
2935,2021-01-04,that little paper clip is clippy and clippy is waiting did you forget your password again which is which things to bring into the new year love positivity and leaving those who deserve it on read three dogs barking and a lawn mower we notice you totally understand just have her send the deck over as soon as she can they say teamwork makes the dream work but what if teamwork is not working so well check out these tips on how to capture team attention one treat per every minute of the dog park delay we do not make the rules you it s now and i have zero excuse to still be muted also you sorry i was muted real super heroes code join the game idea challenge for a chance to win an xbox series x a ww xbox controller and a surface book the details nopurchreq open to residents of us ends pt the image is intended to represent the braille conversion of world braille day a user with a refreshable braille display would be able to read this in braille today we celebrate worldbrailleday braille is key for achieving equality and social inclusion for millions of people who are blind or have low vision 
2953,2020-12-31,us anyone have anything else before we wrap this up actually i do have one more us ends call in we took exploration to new heights take a look back at the launch of microsoft flight simulator wfh in summarized in three words you re on mute 
2956,2020-12-30, this year we reached new depths of possibility for our underwater datacenter projectnatick learn more about how it supported pandemic research efforts sends email waits minutes starts microsoft teams chat hey did you get my email 
2959,2020-12-29, rude just trying to keep it real with you that is the joke jake yooooooooo joins meeting unmutes mic to your pet i love you so much thank you for making me happy literally all of the time mutes mic coworker i should get a pet this year we announced our commitment to become carbon negative and water positive by discover more about our sustainability initiatives yes just wanted to say hi hello brad never too early you are on mute sup hi 
2975,2020-12-28,a next generation console was released this year check out how we powered gaming dreams in our followers live all over the world tell us where you re typing from join the game idea challenge for a chance to win an xbox series x a ww inspired xbox controller and a surface book share your game ideas nopurchreq open to residents of us ends pt microsoft teams it looks like you re available you oh does it now 
2979,2020-12-27,this year we unveiled a new way to browse the web on take a look back at the milestone 
2980,2020-12-26, 
2981,2020-12-23,australian students got the chance to discover and explore their local indigenous cultures with the first naidoc minecraft education challenge check out what they learned there is no place like home wallpaperwednesday with microsoft custom translator you can help globalize your business and improve customer interactions check out the updates to our translation solution 
2984,2020-12-22,you can work and snack at the same time from tracking your spending to simple photo sharing microsoft is here to help you live your best most organized life check out the newest features you can only have one looking for a holiday adventure like rufus s you can now select and fly rufus and sam is planes in flight simulator we ve also decked out iconic landmarks around the world with festive holiday lights ready for you to discover 
2988,2020-12-21,with hackers working faster than ever cybersecurity is more critical than ever discover how machine learning is boosting the ability for organizations to do cyber detective work in real time tip replace whyyyyyyy with okay great the student forum is where higher education students can connect with each other and microsoft education experts check out how three students are getting creative and staying productive during remote and hybrid learning the year is you struggling to write a letter clippy would you like some assistance with that 
2992,2020-12-18,the switch to remote work has made implementing a zero trust security model even more important here is how you can get your company is cybersecurity on lock close that is correct good guess main ingredients dried fruits sugar cinnamon nutmeg cloves maybe even some brandy what are we making from hybrid to remote learning teachers have had to juggle a lot this year check out how new technology from microsoft can help teachers students and administrators get organized which is your favorite here are some punny holiday cards for you to share with friends what is up doc we have joined forces with and to create learn to code lessons for all ages check out the game challenge from more 
3003,2020-12-17, happens to the best of us ours too bliss writes note edits note reads note sends note feels better feels worse reads note again finds spelling mistake wellbeing has never been more important check out these tips to support your employees with stress management and more makin it snow look at all that cheesy goodness here is how we are helping create perfect cheetos the holidays will not be quite the same this year but norad will deliver a treasured tradition you can count on 
3014,2020-12-16, cheers to innovation check out how one of the world s best loved premium gin brands silent pool is diving into cloud technology we re collaborating with to support the safe and efficient distribution of the covid vaccine learn more where would you fly to the year is and we know what we re getting you for the holidays tis the season to slow down and savor the holidays take a break from the hustle and bustle with these tips notis the season today is wallpaperwednesday is brought to you by the windowsuglysweater 
3021,2020-12-15, ring in the season with microsoft holiday hits timeless classics cc reply all records inc as the fall semester winds down here are ways to create a seamless distance learning experience this semester and beyond essential amazing kolaczki krumkake gingerbread what s your favorite holiday dessert our nonprofit tech acceleration for black and african american communities program is designed to empower nonprofits with technology solutions learn more about our commitment 
3029,2020-12-14, cybersecurity is not just for computer science students it is for everyone learn more about the job opportunities spurred by digital transformation coworker requests read receipt you ehhhhhhhhhhhhhhhhhhh tuuuune squad we have joined forces with and to create learn to code lessons for all ages unmutes mic how s the weather by you mutes mic more than billion people do not have access to safe nutritious and sufficient food but the actions we take today can impact tomorrow for the better discover how ai is planting opportunities for a food secure future hello hope this email finds you well how the email found you at the start of the pandemic realized they had an opportunity to offer a little kindness and comfort to overwhelmed frontline workers with the free pair for healthcare initiative crocs donated over pairs of shoes we are teaming up with join in on the fun 
3039,2020-12-11, yes we did joins meeting mutes mic unmutes mic mutes mic unmutes mic this was great thanks everyone love it it is the perfect way to embrace this joyous time of year also available on long play cassettes today is students are going to change the world tomorrow we ve created five new lessons for minecraft education edition to help students take their first steps into this exciting realm of ai could have guessed we are taking this as a compliment knew we would welcome to era microsoft nick we can not comment any further never said it was not it is a yay from us teenagers every morning with this paperclip we are already working on the release can we call you in any favorite tracks we will literally not take your money we recommend just playing this tweet over and over again you know it is funny tom oh we did yes margaret reply all records presents microsoft holiday hits the great selection of holiday songs ever assembled like many companies insurance company youi had to quickly pivot to remote work during the pandemic discover how their digitaltransformation is revealing new opportunities does clippy run this account that is one secret we will never tell as part of our ongoing commitment to provide relief during the covid pandemic we re actively working with our partners and customers to deploy vaccine management solutions read more about our plans to help distribute vaccines safely and equitably 
3071,2020-12-10, we could use the assistance thank you planning on it he is a good writer us you succeeding you have got this solid choice we love you for this probably not considering this a compliment essential a solid and a half hours of work this is gorgeous you do not have to be in the same room to share the cooking traditions you love get a taste of how technology can help you celebrate the holidays safely grandma is kutya always whoa waves but doesn t unmute during a challenging year south africa is winemakers have found a way to keep the wine and creativity flowing check out how they are raising a glass to innovation virtually kheer dumplings figgy pudding latkes risgrynsgr t barbecue what s your favorite holiday dish the more you know word on the second cup of coffee a great day unmutes mutes if only we will leave you to it fantastic coffee coffee coffee beth we have talked about this love what you did there take a deep breath you have got this excel lent how are you doing today 
3141,2020-12-09, same dancin the s were wild alright everyone he is gone wowwwww brad as a part of our global skilling initiative close to learners have engaged with one of the ten learning paths in the middle east and africa alone let is give a round of applause to our learners awww oh brad how many times has this actually happened it is the double check mark for us brad hey everyone i need to jump to another call you wow brad that aesthetic with the help of the cloud indian startup imocha came up with an online solution for traditional whiteboard coding interviews learn how they accelerated their launch to meet the needs of the pandemic more of this please always a yessssss for the corgies a little more to the right yes one of our favorites it is a out of could use a few times throughout the day also us when our coworkers spill the tea over teams chat in honor of the power to play we went ahead and freshened up your background for you wallpaperwednesday nonprofit organizations face ballooning needs dwindling donations and canceled events as the pandemic continues see how microsoft is common data model for nonprofits is helping to bridge those gaps 
3220,2020-12-08, we have got you it is just to save your inbox we will fill you in on the details later could be exactly what we needed thank you moving you to bcc insights in microsoft teams for education are here to help your students achieve their learning goals check out six ways to help your students shine you does anyone have any questions before we move on us yeah what day is it staplers did not you get the memo crispy usually it is just silence after that question thanks yes but not anymore sketch is one example of how you can create pretty much anything you put your mind to check out how the project went from microsoft garage to microsoft store unmutes mic that d be greeeeaaaatt mutes mic 
3239,2020-12-07,with live in person concerts impossible due to the pandemic relied on technology like azure kinect to make his recent music video feel more impactful and inclusive dive in we are the first company to respond to the european data protection board is guidance with new commitments that defend our customers data check out the next steps we are taking could be we are here for it good question prove it sammy is everything alright let is get started you i seem to be having some wifi issues just get started without me everyone else we ll wait make your list and check it twice new features from microsoft edge and bing are here to make your holiday shopping extra nice you too can not confirm or deny that this has happened rt them marks email as urgent you relax everything will be okay update a treat for every decision that yields a desired result learn more about microsoft personalizer which uses a more cutting edge approach to machine learning called reinforcementlearning 
3260,2020-12-04, truth thanks raymond is it me you are looking for staying hydrated is you are too kind team work makes the dream work we hope you both have a great weekend can you hear me i hope tomorrow is better amazing very eventful have a great weekend chara hope it gets better tomorrow is a new day excellent checking in again hope you had a great day all my best person who runs the microsoft account sorry sending the link now even though they are flat and made of plastic as educators continue to navigate a new landscape we are helping them track their students engagement and progress over time and across classes learn more about the updates to insights in microsoft teams for education there is always one kibble or chow excellent choice thanks for the offer we are looking for at least mb it is third justine meeting free fridays mom it is the most important meal of the day very true it is a yes from us sigh a microsoft teams call we would love to join here s a on how to win an ugly sweater contest with talking points below make it ugly but cute nostalgia nostalgia nostalgia pay attention to the details in this free module discover the principles of sustainable software engineering and how to maximize carbon efficiency get started did you eat your lunch for breakfast again 
